Art. No.,Description,Length,Cut,Rule for quantity,Material,Density
16387-S01,inner profile,TRUE,,0,,
16387-S02,outer profile,TRUE,,0,,
16387-S04,glazing bead,TRUE,,0,,
16387-S05,inner profile,TRUE,,0,,
16387-S06,outer profile,TRUE,,0,,
16387-S08,outer profile,TRUE,,0,,
16387-S10,inner profile,TRUE,,0,,
16387-S11,outer profile,TRUE,,0,,
16387-S13,inner profile,TRUE,,0,,
16387-S14,outer profile,TRUE,,0,,
16387-S16,additional profile,TRUE,,0,,
16387-S17,clips profile,TRUE,,0,,
16387-S18,profile,TRUE,,0,,
16387-S20,base gasket,TRUE,Linear,0,,
16387-S21,outer profile,TRUE,Linear,0,,
184030,Glzng bead 22-12,TRUE,,0,,
203102,Glazing bead clip For coatng,TRUE,,0,,
218157,Connector nail 5x13.5,TRUE,,0,,
218171,St. steel pin,TRUE,,0,,
224065,Glazing gskt 5,TRUE,Linear,0,,
224267,Glazg rebate gaskt 5,TRUE,Linear,0,,
224310,Rebate gasket,TRUE,Linear,0,,
226942,Joint seal,TRUE,,0,,
236956,Corner cleat,TRUE,,0,,
244316,PT INSUL. BAR SM 37.5/18.9,TRUE,,0,,
244318,PT insul. bar Sm 37.5/28.9,TRUE,,0,,
246427,Front chamber gkt 20,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
247001,Push w-hdle C0 IW,TRUE,,0,,
247083,Handle rstte Basis IW,TRUE,,0,,
265087,Glazing bridge Reinf,TRUE,,0,,
277048,Lock. roller Adjustab. S 160kg IW,TRUE,,0,,
277180,Cavity gearbox 23 sym S LS/RS IW,TRUE,,0,,
277262,Heavy-duty fitting RH IW 250kg,TRUE,,0,,
277316,Complete fitting T 400 S 160kg RH IW,TRUE,,0,,
277876,Locking bar Hybrid,TRUE,,0,,
277917,Keep Comfort S 160kg IW,TRUE,,0,,
284006,PT INSUL. BAR END 37.5/28,TRUE,,0,,
284012,PT insul. bar Sm 42.5,TRUE,,0,,
284016,PT insul. bar Sm 42.5/18.9,TRUE,,0,,
284022,PT insul. bar Sm 42.5/83.9,TRUE,,0,,
284024,PT insul. bar Gr 42.5,TRUE,,0,,
284036,PT insul. bar Gr 42.5/32.9,TRUE,,0,,
284038,PT insul. bar Gr 42.5/83.9,TRUE,,0,,
284203,Centre gaskt corner,TRUE,Linear,0,,
284321,Glazg rebate gaskt 6,TRUE,Linear,0,,
284828,Centre gasket,TRUE,Linear,0,,
284835,Glazing gskt 5-6,TRUE,Linear,0,,
288149,Glzng reb. ins.,TRUE,,0,,
288165,Glass suppt,TRUE,,0,,
288431,Mld. cmp GRI,TRUE,,0,,
467820,INNER SHELL 81,TRUE,,0,,
467830,OUTER SHELL 66,TRUE,,0,,
9034604,Coupling gasket 55 mm,TRUE,Linear,0,,
9094962,Coupling gasket,TRUE,Linear,0,,
9635222,gasket,TRUE,Linear,0,,
277568,,TRUE,Linear,0,,
277870,,TRUE,Linear,0,,
284836,,TRUE,Linear,0,,
266755,,TRUE,,0,,
Fenstergriff,,TRUE,,0,,
v8-34604,,TRUE,,0,,
203087,Empty,TRUE,,0,,
224085,Empty,TRUE,,0,Polyamide,0.00113
224105,Empty,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
224313,Empty,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
244058,Empty,TRUE,,0,EPDM (Moosgummi),0.00251
244219,Empty,TRUE,,0,Polyamide,0.00113
244511,Empty,TRUE,,0,EPDM (Moosgummi),0.00251
244512,Empty,TRUE,,0,EPDM (Moosgummi),0.00251
246504,Empty,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
268614,Empty,TRUE,,0,,
284834,Empty,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
288126,Empty,TRUE,,0,Polyethylene foam,18
298968,Empty,TRUE,,0,,
323390,Empty,TRUE,,0,Aluminium (European),0.0027
336830,Empty,TRUE,,0,Aluminium (European),0.0027
9072781,Empty,TRUE,,0,Aluminium (European),0.0027
9072789,Empty,TRUE,,0,Aluminium (European),0.0027
9073979,Empty,TRUE,,0,Aluminium (European),0.0027
9639608,Empty,TRUE,,0,Aluminium (European),0.0027
SD01-a,Empty,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
SP-001c,Empty,TRUE,,0,,
SP-002,Empty,TRUE,,0,,
SP-004b,Empty,TRUE,,0,,
SP007-c,Empty,TRUE,,0,,
SP008-c,Empty,TRUE,,0,,
v8-61259,Empty,TRUE,,0,"EPDM (Rubber, Synthetic)",0.00251
